id,name,section,days_before_action,action,time,notify_who,notify_when
1,1 lb bag brown or black beans,Rice/beans/pasta/soup,10,Make,4:00pm,Angel,"2 hours before as email, 1 hour before, and at time of event"
1,1 lb bag of rice,Rice/beans/pasta/soup,0,,,,
1,2 roma tomatos,Fruits/Vegetables,0,,,,
1,2 queso ranchero,Dairy and eggs,0,,,,
2,1/4 1 lb bag brown beans,Rice/beans/pasta/soup,10,Make,4:00pm,Angel,"2 hours before as email, 1 hour before, and at time of event"
2,1 carne del Angel,Carne,2,Take down,8:00am,Angel,time of event
3,~1/4 1 lb bag black beans,Rice/beans/pasta/soup,10,Make,4:00pm,Angel,"2 hours before as email, 1 hour before, and at time of event"
3,2 6 pack pan bolillo,Bread/Cookies,0,,,,
3,~1 16 oz queso mozarella,Refrigerated stuff,0,,,,
4,14 flour tortillas,Rice/beans/pasta/soup,0,,,,
4,1 16 oz bag mexican cheese,Refrigerated stuff,0,,,,
4,1 16 oz bag queso mozzarella,Refrigerated stuff,0,,,,
4,1 8 oz bag queso mozzarella,Refrigerated stuff,0,,,,
4,~2 lbs chicken OR ~8 oz hamon,Carne,2,Take down,8:00am,Angel,time of event
5,3 lbs all natural ground beef,Carne,2,Take down,8:00am,Angel,time of event
5,8 buns,Bread/Cookies,0,,,,
5,~4/5 5lbs bag of potatoes (6-10),Fruits/Vegetables,0,,,,
5,~1/10 head of Lettuce,Fruits/Vegetables,0,,,,
5,Olive oil,Rice/beans/pasta/soup,0,,,,
5,~1 tomato,Fruits/Vegetables,0,,,,
6,1 lbs lentils,Rice/beans/pasta/soup,0,,,,
6,2 boxes of vegetable broth,Rice/beans/pasta/soup,0,,,,
6,~1/5 1lb bag of Carrots,Fruits/Vegetables,0,,,,
6,1 Roma Tomato,Fruits/Vegetables,0,,,,
7,~1 pan wonders (24 breads),Bread/Cookies,0,,,,
7,1 22 oz turkey GET LESS,Refrigerated stuff,0,,,,
7,1 romaine lettuce,Fruits/Vegetables,0,,,,
7,ASK ARTURO,Fruits/Vegetables,0,,,,
8,2 6 pack pan bolillo,Bread/Cookies,0,,,,
8,1 22 oz turkey GET LESS,Refrigerated stuff,0,,,,
8,1 romaine lettuce,Fruits/Vegetables,0,,,,
