id,name,rank,week,abbrev,extra,notes
1,"Beans, rice, and cheese",2B,1/11/2021,(brc),"onion or onion powder, oregano, chicken flavor bouillon, salt, garlic powder, onion powder",
2,Carne del Angel,2B,1/11/2021,(angel carne),,
3,Tortadas,1B,2/1/2021,(tortadas),,15 min at 350
4,Quesadillas,2B,1/25/2021,(quesadillas),,
5,Krabby patties,1B,2/8/2021,(krabby patties),"ketchup, cheese squares",
6,Lentil soup,1B,2/15/2021,(lentils),"Salt, coriander",
7,Sandwiches,1A,,(sandwiches),"Mayo, cheese squares, chips, ASK ARTURO",
8,Tortas,1A,1/25/2021,(tortas),"Mayo, cheese squares, chips, ASK ARTURO",350 for 10 min
9,Caldo de pollo,1B,2/8/2021,(caldo),Salt,
10,Tostadas,2A,1/4/2021,(tostadas),,
11,Chicken with papas,2B,12/28/2020,(chicken w papas),,
12,Chicken with vegetables,1B,2/15/2021,(chicken w vegs),,
13,Mac and chun,2A,2/8/2021,(mac),,
14,Tilapia with rice,2A,1/25/2021,(tilapia),"Fish seasoning, salt, parchment paper, garlic",
15,Salmon with rice,2A,2/15/2021,(salmon),"Fish seasoning, salt, parchment paper",make for less than 20 min (11/06/20)- non coscto salmon. costco- start 1:20 before serving time (only 1 batch)
16,Papas and eggs,2B,1/18/2021,(papas/eggs),salt,use a lot of erl
17,Spaghetti,2A,2/15/2021,(spaghetti),salt,Put water to boil first then prepare meat
18,Burritos,1B,1/25/2021,(burritos),,
19,Hot dogs,2A,1/18/2021,(hot dogs),"ketchup, oil",ASK ARTURO
20,Chicken stir fry,1B,1/18/2021,(stir fry),,"chicken spices, salt"
21,Taquitos,2A,2/15/2021,(taquitos),Avocados,
22,Chicken pasta,2A,1/25/2021,(chicken pasta),black pepper,
23,Eggs and ham,2A,1/11/2021,(eggs and ham),"salt, oil",
24,Chicken salad,2A,2/1/2021,(chicken salad),mayo,
25,Chorizo con huevos,2A,2/8/2021,(chorizo w eggs),,
26,Hard boiled eggs,2B,1/25/2021,(hard boiled eggs),,"1 hr 30 minutes (30 minutes to put eggs in small pan and fill with enough cold water to cover then bring to a boil, 14 minutes to leave with cap on, 30 minutes to peel, 16 minutes to serve)"
27,Lasagna,,,(lasagna),,
28,Tuvi's chicken thing,1B,12/28/2020,(tuvi chicken thing),,
29,Sausage and eggs,2A,1/4/2021,(sausage/eggs),,
30,Chile beans,,,(chili beans),,
31,Green beans with chicken,,,(green beans w chicken),,
32,Tuna Salad,1B,2/15/2021,(tuna salad),"mayonaisse, salt, pepper",
33,Chicken burgers,,,(chicken burgers),"ketchup, cheese squares",turn oil on low and let sit for 5 min before putting fries
34,Dumplings (costco),,,(dumplings),,
35,All natural steak thing (costco),2B,2/1/2021,(steak thing),,
36,Chicken and chorizo jambalaya,2B,,(jambalaya),"olive oil, garlic, cajun seasoning",
37,Chicken enchilada dip,1B,2/1/2021,(chicken dip),,"2 hours considering chicken, and no leftovers"
38,Wrapped tortilla soaked in beans with cheese on top,2B,1/11/2021,(wrapped tortilla),"salt, garlic",
39,Hashbrowns and eggs,2B,2/8/2021,(hashbrowns),,
40,Eggs and beans,2A,2/1/2021,(eggs/beans),,
41,Pizza,,2/8/2021,(pizza),,
42,Baked chicken,2A,1/18/2021,(baked chicken),"Olive oil, salt, garlic, smoked paprika, black pepper, salt",15 min at 450. 165 degrees. https://www.gimmesomeoven.com/baked-chicken-breast/
43,Mashed pototoes,,1/11/2021,(mashed pot),"butter, milk, salt, pepper",1/2 bag of potatoes
